architecture,candidate,validation_macro_f1_argmax
baseline_v1,weighted_ensemble_argmax,0.657317388828493
baseline_v1,weighted_ensemble_calibrated_policy,0.657317388828493
baseline_v1,gb,0.6450026819238334
baseline_v1,extra,0.6221534075548675
baseline_v1,rf,0.5805471124620061
regime_v1,weighted_ensemble_argmax,0.6745923549852981
regime_v1,weighted_ensemble_calibrated_policy,0.6745923549852981
regime_v1,gb,0.6514938568254975
regime_v1,rf,0.6197005516154452
regime_v1,extra,0.3717592592592593
enriched_v2_without_reports,weighted_ensemble_argmax,0.6770367721556708
enriched_v2_without_reports,weighted_ensemble_calibrated_policy,0.6770367721556708
enriched_v2_without_reports,gb,0.6405388025857109
enriched_v2_without_reports,rf,0.6281746031746032
enriched_v2_without_reports,extra,0.5450281284406437
enriched_v2_with_reports,weighted_ensemble_calibrated_policy,0.6848384424192213
enriched_v2_with_reports,weighted_ensemble_argmax,0.645930964978584
enriched_v2_with_reports,gb,0.6237654320987653
enriched_v2_with_reports,rf,0.6123260898562323
enriched_v2_with_reports,extra,0.38081318097262823
ann_regime_v3,weighted_ensemble_calibrated_policy,0.690311986863711
ann_regime_v3,weighted_ensemble_argmax,0.6611702127659574
ann_regime_v3,rf,0.6356489067646524
ann_regime_v3,gb,0.618303042610079
ann_regime_v3,extra,0.3824872414719312
